CDR,Exudate_Pixel,Label
0.4309,16884,0
0.3858,16275,0
0.3632,17476,0
0.362,17897,0
0.6483,10312,0
0.5733,17203,0
0.49,18815,0
1.0563,10488,0
0.3477,17847,0
0.528,18656,0
0.2999,17833,0
0.6492,17492,0
0.8499,17514,0
0.6125,18866,0
0.4586,16910,0
0.7571,17708,0
0.2343,16832,0
0.4472,17568,0
0.5552,18660,0
0.3723,17437,0
1.0404,16021,0
0.606,17301,0
0.455,18402,0
0.7685,18960,0
0.3476,16899,0
0.7326,18434,0
0.2557,17157,0
0.3093,18715,0
0.3682,18645,0
0.297,18498,0
0.5739,17386,0
0.2959,16394,0
0.4203,17003,0
0.3287,18246,0
0.9204,17451,0
0.8391,17533,0
0.2561,17459,0
0.8646,17435,0
1.0098,18751,0
1.0063,18878,0
0.3369,18575,0
0.3366,17917,0
0.3352,17118,0
0.4548,12836,0
0.2927,18589,0
0.5571,17561,0
0.3934,17342,0
0.433,18263,0
0.5121,17660,0
0.6927,16301,0
0.6303,18063,0
0.5384,17015,0
0.6797,16755,0
0.8464,17720,0
0.919,16129,0
0.438,18450,0
0.4805,3825,0
0.7489,2886,0
0.8444,3205,0
0.981,9309,0
0.7205,7080,0
0.6202,9861,0
0.6905,4487,0
0.5268,4307,0
1.1249,6691,0
0.8789,15740,0
1.0221,7733,0
0.9664,4329,0
0.676,5874,0
0.8264,5125,0
0.5534,6868,0
1.0261,4675,0
1,7147,0
0.6625,20833,0
0.5166,18532,0
0.315,16000,0
0.3328,14392,0
0.3964,13399,0
0.8464,17803,0
0.4881,12328,0
0.4681,10548,0
0.3412,15001,0
0.338,12994,0
0.4681,13822,0
0.3853,13392,0
0.7701,8926,0
0.6001,12832,0
0.475,11770,0
0.6221,14803,0
0.4145,11928,0
0.4839,10660,0
0.5197,13555,0
0.2963,10890,0
0.4393,12384,0
0.3989,13402,0
0.7856,12312,0
0.4839,15717,0
0.4483,12251,0
0.3371,16358,0
0.4328,13503,0
0.3748,9564,0
0.3517,14169,0
0.7525,15475,0
0.9664,14059,0
0.3886,10761,0
0.5155,9924,0
0.5463,10603,0
0.3246,10054,0
0.3403,8315,0
0.8539,10613,0
0.9037,14207,0
0.3164,14859,0
0.36,10613,0
0.3254,12421,0
0.1984,10686,0
0.4655,11548,0
0.4025,15512,0
0.3877,8209,0
0.8839,15662,0
1.0374,13911,0
0.6001,12547,0
0.25,14697,0
0.5206,11426,0
0.4178,11142,0
0.6098,15472,0
0.311,11036,0
0.2964,11120,0
0.409,10912,0
0.3631,9474,0
0.2865,10317,0
0.2879,9910,0
0.2596,13235,0
0.3882,17068,0
0.4066,8157,0
0.2637,7832,0
0.7549,15649,0
0.9487,15147,0
0.6318,17604,0
0.285,17061,0
0.4313,15667,0
0.3881,13703,0
0.6553,20972,0
1.0494,14036,0
0.3841,14072,0
0.3864,16105,0
0.6354,18306,0
0.3979,19492,0
0.4365,18825,0
0.407,11953,0
0.9037,18928,0
1,17378,0
0.8336,15028,0
0.3877,20097,0
0.5529,18185,0
0.5529,18185,0
0.3864,15289,0
0.9728,18121,0
0.5768,15090,0
0.7448,14593,0
0.8934,15032,0
0.3492,13514,0
0.5289,22598,0
0.802,11026,0
1,12439,0
0.9612,12256,0
0.907,14568,0
0.8668,10521,0
0.4385,15873,0
0.3104,14979,0
0.4656,10710,0
0.8542,14462,0
0.7238,14608,0
0.8521,14879,0
0.5578,14853,0
0.5125,13266,0
0.4611,13226,0
0.516,25793,0
0.6258,25521,0
0.7347,20528,0
0.8122,16692,0
0.4168,15200,0
0.748,15373,0
0.6977,15464,0
0.5575,12207,0
0.7282,12579,0
0.5216,13698,0
0.4545,9290,0
0.5057,11875,0
0.4017,9455,0
0.6542,11831,0
0.64,13609,0
0.5171,15476,0
0.3745,14027,0
0.4839,12575,0
0.6188,11450,0
0.4078,10732,0
0.3906,13806,0
0.3663,13978,0
0.2603,13351,0
0.2603,13351,0
0.5378,12655,0
0.4858,13747,0
0.6437,13784,0
0.3265,14896,0
0.5184,16434,0
0.5325,12012,0
0.6553,17070,0
0.8804,16484,0
0.6633,16030,0
0.346,18353,0
0.6006,18510,0
0.5933,18287,0
0.3815,13600,0
0.4066,11423,0
0.4702,10078,0
0.2314,10716,0
0.5289,11360,0
0.5308,13088,0
0.5917,15891,0
0.5625,15670,0
0.5524,14372,0
0.5739,15263,0
0.5393,13174,0
0.3492,12242,0
0.7422,12609,0
0.1548,11492,0
0.7955,14006,0
0.7048,14971,0
0.5102,10152,0
0.3485,21670,0
0.602,8778,0
0.6516,22370,0
0.6639,19114,0
0.7571,12077,0
0.6313,13767,0
0.2975,14811,0
0.3698,16422,0
0.9001,13903,0
0.6694,15849,0
0.4247,12619,0
0.7656,14036,0
0.5364,8891,0
0.3478,13834,0
0.4727,13086,0
0.5747,8658,0
0.7837,10318,0
0.2151,14262,0
0.8825,15403,0
0.6125,16269,0
0.4121,13940,0
0.4681,24239,0
0.3499,13504,0
0.5043,14946,0
0.4225,12661,0
0.4972,16379,0
0.5354,12915,0
0.6173,11014,0
1.0863,17645,0
0.9535,15363,0
0.59,13564,0
0.5216,12731,0
0.6313,14013,0
0.7199,17221,0
0.5216,12817,0
0.4556,13341,0
0.2994,11388,0
0.36,13464,0
0.7315,16636,0
0.5102,15147,0
0.4763,11551,0
0.6276,14342,0
0.4017,11211,0
0.5848,11496,0
1.05,12470,0
0.9699,14058,0
0.8934,16121,0
0.5871,20005,0
1.0563,15571,0
0.8825,13878,0
0.7459,17636,0
0.9365,19167,0
0.7723,15284,0
0.7991,11982,0
0.9716,11932,0
0.7586,13207,0
0.8948,11877,0
0.7199,11042,0
0.7385,14615,0
1.0615,14079,0
0.6849,10303,0
0.6516,16843,0
0.9429,12005,0
0.7877,11874,0
0.5625,12740,0
0.8169,11121,0
1,15104,0
1.0305,15197,0
0.8573,12496,0
0.8825,14895,0
0.6639,16387,0
1.0555,11394,0
0.8954,14614,0
0.8521,13409,0
0.8336,13482,0
0.7347,12788,0
1,12928,0
0.5917,10511,0
0.7315,15488,0
0.9704,12026,0
0.9403,11891,0
0.9758,13576,0
0.9704,12026,0
0.7459,12741,0
0.6944,13975,0
0.9025,12438,0
0.59,10698,0
0.4102,13771,0
0.4102,13771,0
1.0916,15178,0
1.0563,11286,0
0.8539,12101,0
1.0272,13654,0
0.8641,11126,0
0.6694,21403,0
0.9755,15867,0
0.7715,11684,0
0.6795,13380,0
0.7591,17666,0
0.6824,15692,0
1.0727,15274,0
0.7472,12120,0
0.9184,13008,0
0.7315,14935,0
0.9658,11963,0
0.9758,13226,0
0.8054,14910,0
0.598,16303,0
0.9658,12928,0
0.8174,12615,0
0.7034,11762,0
0.8934,15391,0
1.0296,15338,0
0.5102,16876,0
0.7851,20951,0
0.8359,16749,0
1.0714,12716,0
0.6173,13896,0
0.889,17912,0
0.815,19036,0
0.7056,18808,0
0.5206,16198,0
0.8732,13985,0
0.7311,15407,0
0.4526,14340,0
0.7715,13525,0
1.0952,10983,0
0.4313,14048,0
0.3498,14537,0
0.5043,12823,0
0.4119,12513,0
0.2603,20267,0
0.5578,21839,0
0.8306,18021,0
0.8694,17876,0
0.5043,17853,0
1.0305,22351,0
0.4444,18459,0
1.0548,25368,0
0.5785,22183,0
